pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2015-04-01,440246,440246,440246,440246,440246
2015-04-02,444300,444300,444300,444300,444300
2015-04-03,444077,444077,444077,444077,444077
2015-04-04,440170,440170,440170,440170,440170
2015-04-05,377462,377462,377462,377462,377462
2015-04-06,375754,375754,375754,375754,375754
2015-04-07,425909,425909,425909,425909,425909
2015-04-08,443492,443492,443492,443492,443492
2015-04-09,460476,460476,460476,460476,460476
2015-04-10,468077,468077,468077,468077,468077
2015-04-11,473730,473730,473730,473730,473730
2015-04-12,407342,407342,407342,407342,407342
2015-04-13,377158,377158,377158,377158,377158
2015-04-14,411892,411892,411892,411892,411892
2015-04-15,427092,427092,427092,427092,427092
2015-04-16,452157,452157,452157,452157,452157
2015-04-17,469283,469283,469283,469283,469283
2015-04-18,500928,500928,500928,500928,500928
2015-04-19,445785,445785,445785,445785,445785
2015-04-20,397259,397259,397259,397259,397259
2015-04-21,426137,426137,426137,426137,426137
2015-04-22,432491,432491,432491,432491,432491
2015-04-23,463486,463486,463486,463486,463486
2015-04-24,474068,474068,474068,474068,474068
2015-04-25,489474,489474,489474,489474,489474
2015-04-26,424608,424608,424608,424608,424608
2015-04-27,393526,393526,393526,393526,393526
2015-04-28,411771,411771,411771,411771,411771
2015-04-29,427507,427507,427507,427507,427507
2015-04-30,446132,446132,446132,446132,446132
2015-05-01,461547,461547,461547,461547,461547
2015-05-02,507619,507619,507619,507619,507619
2015-05-03,434789,434789,434789,434789,434789
2015-05-04,390266,390266,390266,390266,390266
2015-05-05,432452,432452,432452,432452,432452
2015-05-06,444948,444948,444948,444948,444948
2015-05-07,442222,442222,442222,442222,442222
2015-05-08,449009,449009,449009,449009,449009
2015-05-09,469017,469017,469017,469017,469017
2015-05-10,405427,405427,405427,405427,405427
2015-05-11,395280,395280,395280,395280,395280
2015-05-12,424512,424512,424512,424512,424512
2015-05-13,439371,439371,439371,439371,439371
2015-05-14,439936,439936,439936,439936,439936
2015-05-15,457541,457541,457541,457541,457541
2015-05-16,479580,479580,479580,479580,479580
2015-05-17,423198,423198,423198,423198,423198
2015-05-18,403641,403641,403641,403641,403641
2015-05-19,432943,432943,432943,432943,432943
2015-05-20,441232,441232,441232,441232,441232
2015-05-21,446819,446819,446819,446819,446819
2015-05-22,419629,419629,419629,419629,419629
2015-05-23,383363,383363,383363,383363,383363
2015-05-24,336652,336652,336652,336652,336652
2015-05-25,301706,301706,301706,301706,301706
2015-05-26,387134,387134,387134,387134,387134
2015-05-27,415919,415919,415919,415919,415919
2015-05-28,432112,432112,432112,432112,432112
2015-05-29,441299,441299,441299,441299,441299
2015-05-30,451080,451080,451080,451080,451080
2015-05-31,368019,368019,368019,368019,368019
2015-06-01,400833,400833,400833,400833,400833
2015-06-02,419994,419994,419994,419994,419994
2015-06-03,425776,425776,425776,425776,425776
2015-06-04,444543,444543,444543,444543,444543
2015-06-05,451185,451185,451185,451185,451185
2015-06-06,449804,449804,449804,449804,449804
2015-06-07,402188,402188,402188,402188,402188
2015-06-08,391087,391087,391087,391087,391087
2015-06-09,409188,409188,409188,409188,409188
2015-06-10,424356,424356,424356,424356,424356
2015-06-11,439869,439869,439869,439869,439869
2015-06-12,443026,443026,443026,443026,443026
2015-06-13,428004,428004,428004,428004,428004
2015-06-14,382037,382037,382037,382037,382037
2015-06-15,374858,374858,374858,374858,374858
2015-06-16,400518,400518,400518,400518,400518
2015-06-17,425743,425743,425743,425743,425743
2015-06-18,429386,429386,429386,429386,429386
2015-06-19,436303,436303,436303,436303,436303
2015-06-20,413866,413866,413866,413866,413866
2015-06-21,366158,366158,366158,366158,366158
2015-06-22,374849,374849,374849,374849,374849
2015-06-23,406139,406139,406139,406139,406139
2015-06-24,411370,411370,411370,411370,411370
2015-06-25,419739,419739,419739,419739,419739
2015-06-26,425774,425774,425774,425774,425774
2015-06-27,445861,445861,445861,445861,445861
2015-06-28,348433,348433,348433,348433,348433
2015-06-29,359808,359808,359808,359808,359808
2015-06-30,374240,374240,374240,374240,374240
