pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2015-01-01,382014,382014,382014,382014,382014
2015-01-02,345296,345296,345296,345296,345296
2015-01-03,406769,406769,406769,406769,406769
2015-01-04,328848,328848,328848,328848,328848
2015-01-05,363454,363454,363454,363454,363454
2015-01-06,384324,384324,384324,384324,384324
2015-01-07,429653,429653,429653,429653,429653
2015-01-08,450920,450920,450920,450920,450920
2015-01-09,447947,447947,447947,447947,447947
2015-01-10,515540,515540,515540,515540,515540
2015-01-11,419629,419629,419629,419629,419629
2015-01-12,396367,396367,396367,396367,396367
2015-01-13,448517,448517,448517,448517,448517
2015-01-14,442656,442656,442656,442656,442656
2015-01-15,451186,451186,451186,451186,451186
2015-01-16,478124,478124,478124,478124,478124
2015-01-17,476827,476827,476827,476827,476827
2015-01-18,427042,427042,427042,427042,427042
2015-01-19,342795,342795,342795,342795,342795
2015-01-20,405581,405581,405581,405581,405581
2015-01-21,431486,431486,431486,431486,431486
2015-01-22,452108,452108,452108,452108,452108
2015-01-23,472440,472440,472440,472440,472440
2015-01-24,460505,460505,460505,460505,460505
2015-01-25,407579,407579,407579,407579,407579
2015-01-26,230255,230255,230255,230255,230255
2015-01-27,135500,135500,135500,135500,135500
2015-01-28,380192,380192,380192,380192,380192
2015-01-29,431985,431985,431985,431985,431985
2015-01-30,483380,483380,483380,483380,483380
2015-01-31,520067,520067,520067,520067,520067
2015-02-01,423113,423113,423113,423113,423113
2015-02-02,336849,336849,336849,336849,336849
2015-02-03,421128,421128,421128,421128,421128
2015-02-04,415624,415624,415624,415624,415624
2015-02-05,459717,459717,459717,459717,459717
2015-02-06,476995,476995,476995,476995,476995
2015-02-07,485504,485504,485504,485504,485504
2015-02-08,410477,410477,410477,410477,410477
2015-02-09,381114,381114,381114,381114,381114
2015-02-10,424564,424564,424564,424564,424564
2015-02-11,447258,447258,447258,447258,447258
2015-02-12,463682,463682,463682,463682,463682
2015-02-13,486241,486241,486241,486241,486241
2015-02-14,501397,501397,501397,501397,501397
2015-02-15,459094,459094,459094,459094,459094
2015-02-16,412835,412835,412835,412835,412835
2015-02-17,394363,394363,394363,394363,394363
2015-02-18,436607,436607,436607,436607,436607
2015-02-19,477678,477678,477678,477678,477678
2015-02-20,498957,498957,498957,498957,498957
2015-02-21,455297,455297,455297,455297,455297
2015-02-22,399059,399059,399059,399059,399059
2015-02-23,431831,431831,431831,431831,431831
2015-02-24,448513,448513,448513,448513,448513
2015-02-25,444233,444233,444233,444233,444233
2015-02-26,471732,471732,471732,471732,471732
2015-02-27,487022,487022,487022,487022,487022
2015-02-28,499637,499637,499637,499637,499637
2015-03-01,385267,385267,385267,385267,385267
2015-03-02,388548,388548,388548,388548,388548
2015-03-03,397691,397691,397691,397691,397691
2015-03-04,435759,435759,435759,435759,435759
2015-03-05,366435,366435,366435,366435,366435
2015-03-06,446842,446842,446842,446842,446842
2015-03-07,504246,504246,504246,504246,504246
2015-03-08,411917,411917,411917,411917,411917
2015-03-09,392009,392009,392009,392009,392009
2015-03-10,413949,413949,413949,413949,413949
2015-03-11,428366,428366,428366,428366,428366
2015-03-12,461719,461719,461719,461719,461719
2015-03-13,476936,476936,476936,476936,476936
2015-03-14,496525,496525,496525,496525,496525
2015-03-15,418778,418778,418778,418778,418778
2015-03-16,374820,374820,374820,374820,374820
2015-03-17,413376,413376,413376,413376,413376
2015-03-18,452981,452981,452981,452981,452981
2015-03-19,451904,451904,451904,451904,451904
2015-03-20,458225,458225,458225,458225,458225
2015-03-21,468108,468108,468108,468108,468108
2015-03-22,429016,429016,429016,429016,429016
2015-03-23,390353,390353,390353,390353,390353
2015-03-24,412152,412152,412152,412152,412152
2015-03-25,427026,427026,427026,427026,427026
2015-03-26,427632,427632,427632,427632,427632
2015-03-27,465493,465493,465493,465493,465493
2015-03-28,510351,510351,510351,510351,510351
2015-03-29,424267,424267,424267,424267,424267
2015-03-30,391004,391004,391004,391004,391004
2015-03-31,429914,429914,429914,429914,429914
