pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2014-07-01,445743,445743,445743,445743,445743
2014-07-02,439423,439423,439423,439423,439423
2014-07-03,417460,417460,417460,417460,417460
2014-07-04,309652,309652,309652,309652,309652
2014-07-05,308304,308304,308304,308304,308304
2014-07-06,313544,313544,313544,313544,313544
2014-07-07,378451,378451,378451,378451,378451
2014-07-08,434856,434856,434856,434856,434856
2014-07-09,448579,448579,448579,448579,448579
2014-07-10,456003,456003,456003,456003,456003
2014-07-11,458597,458597,458597,458597,458597
2014-07-12,447090,447090,447090,447090,447090
2014-07-13,410483,410483,410483,410483,410483
2014-07-14,416403,416403,416403,416403,416403
2014-07-15,436616,436616,436616,436616,436616
2014-07-16,449192,449192,449192,449192,449192
2014-07-17,457123,457123,457123,457123,457123
2014-07-18,460247,460247,460247,460247,460247
2014-07-19,445222,445222,445222,445222,445222
2014-07-20,398703,398703,398703,398703,398703
2014-07-21,399110,399110,399110,399110,399110
2014-07-22,447126,447126,447126,447126,447126
2014-07-23,466725,466725,466725,466725,466725
2014-07-24,461698,461698,461698,461698,461698
2014-07-25,461493,461493,461493,461493,461493
2014-07-26,448388,448388,448388,448388,448388
2014-07-27,403948,403948,403948,403948,403948
2014-07-28,368733,368733,368733,368733,368733
2014-07-29,422448,422448,422448,422448,422448
2014-07-30,441490,441490,441490,441490,441490
2014-07-31,453515,453515,453515,453515,453515
2014-08-01,453428,453428,453428,453428,453428
2014-08-02,440096,440096,440096,440096,440096
2014-08-03,397765,397765,397765,397765,397765
2014-08-04,392871,392871,392871,392871,392871
2014-08-05,422243,422243,422243,422243,422243
2014-08-06,439508,439508,439508,439508,439508
2014-08-07,446629,446629,446629,446629,446629
2014-08-08,445799,445799,445799,445799,445799
2014-08-09,420314,420314,420314,420314,420314
2014-08-10,372124,372124,372124,372124,372124
2014-08-11,377494,377494,377494,377494,377494
2014-08-12,413297,413297,413297,413297,413297
2014-08-13,434391,434391,434391,434391,434391
2014-08-14,439289,439289,439289,439289,439289
2014-08-15,444148,444148,444148,444148,444148
2014-08-16,419353,419353,419353,419353,419353
2014-08-17,380140,380140,380140,380140,380140
2014-08-18,376662,376662,376662,376662,376662
2014-08-19,405997,405997,405997,405997,405997
2014-08-20,422389,422389,422389,422389,422389
2014-08-21,441620,441620,441620,441620,441620
2014-08-22,419858,419858,419858,419858,419858
2014-08-23,402490,402490,402490,402490,402490
2014-08-24,364236,364236,364236,364236,364236
2014-08-25,357998,357998,357998,357998,357998
2014-08-26,389266,389266,389266,389266,389266
2014-08-27,415610,415610,415610,415610,415610
2014-08-28,414649,414649,414649,414649,414649
2014-08-29,410496,410496,410496,410496,410496
2014-08-30,376328,376328,376328,376328,376328
2014-08-31,352389,352389,352389,352389,352389
2014-09-01,319157,319157,319157,319157,319157
2014-09-02,408333,408333,408333,408333,408333
2014-09-03,441040,441040,441040,441040,441040
2014-09-04,469500,469500,469500,469500,469500
2014-09-05,496714,496714,496714,496714,496714
2014-09-06,503100,503100,503100,503100,503100
2014-09-07,445959,445959,445959,445959,445959
2014-09-08,430611,430611,430611,430611,430611
2014-09-09,450763,450763,450763,450763,450763
2014-09-10,466592,466592,466592,466592,466592
2014-09-11,478607,478607,478607,478607,478607
2014-09-12,486929,486929,486929,486929,486929
2014-09-13,513501,513501,513501,513501,513501
2014-09-14,450849,450849,450849,450849,450849
2014-09-15,421980,421980,421980,421980,421980
2014-09-16,447618,447618,447618,447618,447618
2014-09-17,451216,451216,451216,451216,451216
2014-09-18,464358,464358,464358,464358,464358
2014-09-19,488834,488834,488834,488834,488834
2014-09-20,492576,492576,492576,492576,492576
2014-09-21,402953,402953,402953,402953,402953
2014-09-22,393656,393656,393656,393656,393656
2014-09-23,401123,401123,401123,401123,401123
2014-09-24,416770,416770,416770,416770,416770
2014-09-25,426440,426440,426440,426440,426440
2014-09-26,448361,448361,448361,448361,448361
2014-09-27,486921,486921,486921,486921,486921
2014-09-28,433820,433820,433820,433820,433820
2014-09-29,400318,400318,400318,400318,400318
2014-09-30,435417,435417,435417,435417,435417
